id_votacao,data,dataHoraRegistro,siglaOrgao,idOrgao,idEvento,descricao,aprovacao,descUltimaAberturaVotacao,dataHoraUltimaAberturaVotacao,ultimaApresentacaoProposicao.dataHoraRegistro,ultimaApresentacaoProposicao.descricao,ultimaApresentacaoProposicao.uriProposicaoCitada
2442848-52,2025-03-27,2025-03-27T12:52:30,PLEN,180,75672,"Aprovada a Redação Final assinada pelo relator, Dep. Ricardo Ayres (REPUBLIC-TO).",1,Votação da Redação Final.,2025-03-27T12:52:18,,,
2442848-50,2025-03-27,2025-03-27T12:52:13,PLEN,180,75672,"Aprovado o Projeto de Decreto Legislativo nº 311, de 2024. Sim: 270; Não: 7; Abstenção: 5; Total: 282.",1,Votação em turno único.,2025-03-27T12:43:55,,,
2442848-47,2025-03-27,2025-03-27T12:43:48,PLEN,180,75672,Rejeitado o Requerimento. Sim: 36; Não: 268; Abstenção: 6; Total: 310.,0,,,,,
2442848-42,2025-03-27,2025-03-27T12:28:10,PLEN,180,75672,Rejeitado o Requerimento. Sim: 43; Não: 268; Abstenção: 9; Total: 320.,0,,,,,
2410601-48,2025-03-27,2025-03-27T12:16:28,PLEN,180,75672,"Aprovada a Redação Final assinada pela relatora, Dep. Laura Carneiro (PSD-RJ).",1,Votação da Redação Final.,2025-03-27T12:16:12,,,
2410601-46,2025-03-27,2025-03-27T12:15:33,PLEN,180,75672,"Aprovado o Projeto de Decreto Legislativo nº 478, de 2023. Sim: 310; Não: 5; Abstenção: 10; Total: 325.",1,Votação em turno único.,2025-03-27T12:02:04,,,
2410601-41,2025-03-27,2025-03-27T11:53:55,PLEN,180,75672,Rejeitado o Requerimento. Sim: 54; Não: 318; Total: 372.,0,,,,,
2454687-21,2025-03-26,2025-03-26T16:19:28,CPASF,539387,75668,Aprovado o Parecer.,1,,,2024-12-02T14:51:41,"Parecer da Relatora, Dep. Laura Carneiro (PSD-RJ), pela aprovação.",https://dadosabertos.camara.leg.br/api/v2/proposicoes/2473803
2453448-25,2025-03-26,2025-03-26T16:19:05,CPASF,539387,75668,Aprovado o Parecer.,1,,,2024-11-13T09:44:39,"Parecer da Relatora, Dep. Laura Carneiro (PSD-RJ), pela aprovação.",https://dadosabertos.camara.leg.br/api/v2/proposicoes/2468867
2420037-23,2025-03-26,2025-03-26T16:11:32,CPASF,539387,75668,Aprovado o Parecer.,1,,,2024-11-11T17:19:48,"Parecer da Relatora, Dep. Detinha (PL-MA), pela aprovação.",https://dadosabertos.camara.leg.br/api/v2/proposicoes/2467856
2334086-32,2025-03-26,2025-03-26T16:02:34,CPASF,539387,75668,Aprovado o Parecer.,1,,,2024-06-25T18:21:11,"Parecer da Relatora, Dep. Ana Paula Lima (PT-SC), pela aprovação.",https://dadosabertos.camara.leg.br/api/v2/proposicoes/2443103
2437785-25,2025-03-26,2025-03-26T15:58:46,CPASF,539387,75668,Aprovado o Parecer.,1,,,2024-11-27T20:18:22,"Parecer da Relatora, Dep. Daniela do Waguinho (UNIÃO-RJ), pela aprovação do PL 2180/2024, e pela rejeição do PL 2856/2024, apensado.",https://dadosabertos.camara.leg.br/api/v2/proposicoes/2472523
2449221-22,2025-03-26,2025-03-26T15:54:51,CPASF,539387,75668,Aprovado o Parecer.,1,,,2024-12-04T09:35:19,"Parecer da Relatora, Dep. Chris Tonietto (PL-RJ), pela aprovação, com emenda.",https://dadosabertos.camara.leg.br/api/v2/proposicoes/2475291
2488800-2,2025-03-26,2025-03-26T15:48:28,CPASF,539387,75668,Aprovado o Requerimento.,1,,,,"Apresentação do REQ n. 11/2025 (Requerimento de Audiência Pública), pelo Deputado Allan Garcês (PP/MA), que ""Requer a realização de audiência pública nesta Comissão com o objetivo de discutir os danos da utilização de cigarros eletrônicos por crianças e adolescentes"".",
2488420-2,2025-03-26,2025-03-26T15:47:27,CPASF,539387,75668,Aprovado o requerimento.,1,,,,"Apresentação do REQ n. 10/2025 (Requerimento de Audiência Pública), pela Deputada Laura Carneiro (PSD/RJ), que ""Requer que seja convidado o Exmo. Sr. José Wellington Barroso de Araújo Dias, Ministro de Estado do Desenvolvimento e Assistência Social, Família e Combate à Fome, a comparecer a esta Comissão, a fim de apresentar os planos e a agenda estratégica do ministério"".",
